Zona,Immuebla,Edificio,Uso,Calle,Calle2,Colonia,Delegación/Colonia,Año estimado de construcción,Número de pisos:,Sistema estructural,Periodo estimado de la estructura (Te),Periodo estimado del suelo (Ts),amax Estructura,amax Suelo,Cociente Te/Ts,Daño,Daño en Estructuras,Observaciones,Agravante de los daños,MM,Geometry
17E,17E|JOQUI_21,"Casa 19,joquicingo",Barda,Calle Leon Guzman S/N,Vicente Guerrero y del Calvario (G Maps),Joquicingo de León Guzmán,Joquicingo,,1,Muros de mampostería no confinada,0.079,,,,,Graves,Barda,Caída de barda,Autoconstrucción / Ampliaciones,52370,"POLYGON((-99.5356550119776 19.0495795734785, -99.535786358225 19.0495719592033, -99.5357977796378 19.0496671376435, -99.5356664333904 19.0496785590562))"
17E,17E|JOQUI_22,Capilla Virgen de Guadalupe,Barda,Calle Leon Guzman S/N,Calle J. M Morelos y Benito Juarez,Joquicingo de León Guzmán,Joquicingo,,1,Muros de mampostería no confinada,0.079,,,,,Graves,Barda,Daños en la barda y arco de entrada.,Autoconstrucción / Ampliaciones,52370,"POLYGON((-99.5327489841825 19.0499665134957, -99.53295599729 19.0499479536999, -99.5329816954689 19.050224922961, -99.532776110038 19.0502363443738))"
17E,17E|LERMA_01,Jardín de Niños María Ortega Monroy,Escuela,Av. Reolín Barejon 34,Av. Reolín Barejon esquina con Av . Reforma,El panteón,Lerma,,1,Muros de mampostería confinada,0.079,,,,,Graves,"Grietas grandes en muros, trabes o columnas","Daño en techo, caída.",Autoconstrucción / Ampliaciones,52005,"POLYGON((-99.5070897190235 19.283900564327, -99.5073095812204 19.2838377465566, -99.5073181472801 19.2840561810769, -99.5070968574065 19.2840690301663))"
17E,17E|XALAT_01,Iglesia de Santa maría Asunción,Iglesia,5 de Mayo S/N,Industria Pte y Av Moctezuma,San Bartolo,Xalatlaco,,1,Mampostería histórica,0.079,,,,,Graves,Estructuras antiguas,"Daño en cúpula, presenta ruptura y grietas en algunos arcos.","Irregularidad vertical
Irregularidad en planta",52680,"POLYGON((-99.4149346304484 19.1846034698052, -99.4149403411549 19.1843388737414, -99.4155685188604 19.1843579094295, -99.4155590010163 19.1846167947869))"
17E,17E|XALAT_02,"Casa 1, Xalatlaco",Casa Habitación,Av Moctezuma 6,16 de Septiembre y 5 Febrero,San Bartolo,Xalatlaco,,1,Muros de mampostería de adobe,0.079,,,,,Graves,Estructuras débiles y sin ingeniería,Caída de muro de adobe y parte del techo trasero.,"Daños previos
Autoconstrucción / Ampliaciones",52680,"POLYGON((-99.414344251036 19.1848122905213, -99.4144127795129 19.1848137181978, -99.4143456787127 19.1848693975855))"
17E,17E|XALAT_03,"Casa 2, Xalatlaco",Barda,Av. Moctezuma S/N,5 de Frebrero y Miguel Hidalgo,San Bartolo,Xalatlaco,,1,Muros de mampostería no confinada,0.079,,,,,Colapso parcial,Estructuras débiles y sin ingeniería,Colapso de barda.,Autoconstrucción / Ampliaciones,52680,"POLYGON((-99.4159932175131 19.1849664795944, -99.4159989282195 19.1848879573813, -99.4160945825519 19.1848936680877, -99.4160902995221 19.1849693349477))"
17E,17E|HUIXQ_01,"Casa 1, Huixquilucan",Casa Habitación,Otoño S/N,Verano y Zacamulpa Nte.,Zacamulpa,Huixquilucan,,2,Muros de mampostería confinada,0.158,,,,,Colapso parcial,Colapso de pisos superiores,Colapso de la estructura,"Golpeteo
Planta baja débil
Autoconstrucción / Ampliaciones",52766,"POLYGON((-99.3262268097851 19.3622453198834, -99.3264723701608 19.3621815503284, -99.3265256700874 19.3623481125989, -99.3262791579271 19.3624080750162))"
17E,17E|OTUMBA_01,Clínica 89,Hospital,Eugenio Montaño 0,Porfirio Díaz y Prolongación Morelos,Otumba Centro,Otumba,,1,Marcos de concreto con muros de mampostería,0.1435535,,,,,Menores,"Grietas pequeñas en muros, trabes o columnas",Grietas pequeñas en acabados,Ninguno apreciable,55900,"POLYGON((-98.7630140775262 19.7017530908317, -98.7632472647047 19.7012771986305, -98.7634530880817 19.7013854641062, -98.7632270392862 19.7018530281939))"
17E,17E|COAT_01,"Casa 1, Coatepec",Comercio,"Hidalgo 20 ,21",Sebastian Lerdo de Tejada y Benito Juarez,Coatepec Harinas,Coatepec,,2,Muros de mampostería no confinada,0.158,,,,,Graves,Estructuras débiles y sin ingeniería,"Afectación en el 2do nivel, daño en columna  y colapso de techo. Así mismo el desprendimiento de material en gran parte de la fachada.",Autoconstrucción / Ampliaciones,51700,"POLYGON((-99.7687873506801 18.9250530125507, -99.7687892542489 18.9249730626608, -99.7688749148451 18.9249749662297, -99.7688749148451 18.9250530125507))"
17E,17E|COAT_02,"Casa 2, Coatepec",Comercio,Jose Ma. Morelos S/N,Jose Ma. Morelos esquina con Mexi 12  (Google Maps),Coatepec Harinas,Coatepec,,2,Muros de mampostería no confinada,0.158,,,,,Menores,Estructuras débiles y sin ingeniería,Caída de parte del pretíl,"Efecto de esquina
Autoconstrucción / Ampliaciones",51700,"POLYGON((-99.7686791565881 18.9256967757258, -99.7686803463187 18.9256146843211, -99.7686970025457 18.9255968383636, -99.7687255560777 18.9255896999805, -99.7687945604469 18.9255920794416, -99.7688028885605 18.9256967757258))"
