Zona,Immuebla,Edificio,Uso,Calle,Calle2,Colonia,Delegación/Colonia,Año estimado de construcción,Número de pisos:,Sistema estructural,Periodo estimado de la estructura (Te),Periodo estimado del suelo (Ts),amax Estructura,amax Suelo,Cociente Te/Ts,Daño,Daño en Estructuras,Observaciones,Agravante de los daños,MM,Geometry
17M,17M|COY_127,Edificio,Edificio de departamentos,Av. Cafetales 1819,Calz. Taxqueña y Cerro San Antonio,Campestre Churubusco,Coyoacán,1964,5,Marcos de concreto con muros de mampostería,0.48,1.679248,88.67672,238.0075,0.2858422,Menores,Grietas en acabados y elementos no estructurales,"Agrietamiento por cortante de un muro de la planta baja, daño por cortante una la columna de la planta baja",Irregularidad en planta,4970,"POLYGON((-99.1136085144283 19.3012757836961, -99.1136354443032 19.3011866825084, -99.1136364058327 19.3011865827764, -99.1139423715643 19.3011539551906, -99.1139434306855 19.3012397303977))"
17M,17M|COY_69,Casa,Edificio de departamentos,Cda. Francisco I. Madero 86,Ignacio Zaragoza y Bugambilias,Viejo Ejido de Santa Úrsula Coapa,Coyoacán,1991,4,Muros de mampostería confinada,0.316,0.6896957,145.3822,232.7418,0.4581731,Menores,Grietas en acabados y elementos no estructurales,Pequeñas Grietas en viga,Ninguno apreciable,4980,"POLYGON((-99.1435716788334 19.3015138022263, -99.1436339802546 19.3014371423926, -99.1436822159969 19.3014700283937, -99.1436448832289 19.3015206152186, -99.1436853737596 19.3015485427679, -99.1437040808034 19.30152602377, -99.1437686583724 19.3015730377088, -99.1437310199628 19.3016225673189, -99.1437233688738 19.3016164791664, -99.143707668248 19.3016058483838))"
17M,17M|COY_05,Edificio,Edificio de departamentos,Rancho de los Arcos 32,Calz del Hueso y Rancho Vista Hermosa,Girasoles,Coyoacán,1984,6,Columnas y losa plana de concreto,0.7572634,1.166782,141.598,617.8574,0.6490185,Colapso total,Colapso de la planta baja o de toda la estructura,Colapso total de la estructura.,Irregularidad en planta,4920,"POLYGON((-99.1229426504712 19.3046462517817, -99.122942688282 19.3046458903002, -99.122964328622 19.3044181847802, -99.1232865110153 19.3044431626716, -99.1232659578227 19.3046724042049))"
17M,17M|COY_128,Plaza,Comercio,Calz. Del Hueso 480,Rancho Vista Hermosa y Calzada del Hueso,Girasoles II,Coyoacán,1980,2,Marcos de concreto,0.2817331,1.127257,141.598,318.786,0.249928,Colapso parcial,Colapso de pisos superiores,"Colapso de una esquina del local, daños en otros locales del mismo predio","Efecto de esquina
Irregularidad en planta",4920,"POLYGON((-99.1236712576969 19.3042429694903, -99.1237135190732 19.3037408289017, -99.1244177837065 19.3040276900787, -99.1243943878587 19.3042967671669, -99.1240406872097 19.3042700553714))"
17M,17M|COY_93,Edificio,Edificio de departamentos,Canal de Miramontes 3040,E. Pallares & Potillo y América,Barrio San Lucas,Coyoacán,1976,7,Marcos de concreto con muros de mampostería,0.6177849,1.126042,141.598,530.1363,0.5486342,Graves,"Grietas grandes en muros, trabes o columnas","Agrietamiento por cortante en muros de mampostería en todo el edificio, desprendimiento de recubrimiento y fragmentos de muro","Irregularidad en planta
Efecto de columna corta",4920,"POLYGON((-99.1239985329987 19.3047245271703, -99.1240194779574 19.3044987281894, -99.124374143845 19.304529298508, -99.1243548248557 19.3047514824006))"
17M,17M|COY_91,Edificio,Edificio de departamentos,Rancho El Encanto 100,Esq. Av. Canal de Miramontes,Churubusco Country Club,Coyoacán,1972,5,Marcos de concreto con muros de mampostería,0.48,1.595194,101.5111,224.5158,0.3009038,Menores,Grietas en acabados y elementos no estructurales,Desplome del edificio,"Golpeteo
Planta baja débil
Irregularidad en planta",4930,"POLYGON((-99.1148329474093 19.3051511348307, -99.1148373692665 19.3049521746885, -99.1149243471661 19.3049562569619, -99.1149112892639 19.3051544428954))"
17M,17M|COY_04-C,Edificio,Edificio de departamentos,Canal de Miramontes 3020,Calz del Hueso y Rancho Vista Hermosa,Girasoles II,Coyoacán,1980,7,Marcos de concreto,0.8699596,1.122085,141.598,688.7344,0.7753066,Menores,Grietas en acabados y elementos no estructurales,Pequeñas grietas en acabados,"Planta baja débil
Irregularidad en planta",4920,"POLYGON((-99.1239382550746 19.3054218759797, -99.1239588102143 19.3051840223229, -99.1243144594226 19.3052156229659, -99.1242938849354 19.305452256831))"
17M,17M|COY_04-A,Edificio,Edificio de departamentos,Canal de Miramontes 3010,Calz del Hueso y Rancho Vista Hermosa,Girasoles II,Coyoacán,1980,6,Muros de mampostería confinada,0.474,1.119867,141.598,439.7069,0.4232645,Intermedio,"Grietas pequeñas en muros, trabes o columnas","Presenta desprendimientos de recubrimiento, grietas y colapsos en algunos muros de carga","Golpeteo
Irregularidad en planta",4920,"POLYGON((-99.1239183605753 19.3056522198238, -99.1239382550746 19.3054218759797, -99.1242938849354 19.305452256831, -99.1242729058557 19.3056829265139, -99.1239193223031 19.3056523008351))"
17M,17M|COY_04-B,Edificio,Edificio de departamentos,Canal de Miramontes 3004,Calz del Hueso y Rancho Vista Hermosa,Girasoles II,Coyoacán,1982,7,Marcos de concreto,0.8699596,1.119867,141.598,688.7344,0.7768418,Intermedio,"Grietas pequeñas en muros, trabes o columnas",Algunas grietas diagonales que salen de los huecos para ventanas,"Golpeteo
Planta baja débil
Irregularidad en planta",4920,"POLYGON((-99.1238988438876 19.3058787138298, -99.1239193223031 19.3056523008351, -99.1242728582484 19.3056829265296, -99.1242729058557 19.3056829265139, -99.1242526348424 19.305905869487))"
17M,17M|COY_15,Edificio,Edificio de departamentos,Rancho del Arco 76,Rancho Vista Hermosa y Calz del Hueso,Girasoles II,Coyoacán,1979,5,Marcos de concreto con muros de mampostería,0.48,1.162621,141.598,443.4804,0.4128602,Menores,Grietas en acabados y elementos no estructurales,Pequeñas grietas,Irregularidad en planta,4920,"POLYGON((-99.1228129599317 19.3060267072205, -99.1228132904417 19.3060230924282, -99.1228338639734 19.305794050236, -99.1231632193069 19.3058190536632, -99.1231415154441 19.3060509338974))"
17M,17M|COY_11,Edificio,Edificio de departamentos,Av. Canal de Miramontes 2990,Rancho Vista Hermosa y Calz. Del Hueso,Girasoles II,Coyoacán,1982,6,Marcos de concreto con muros de mampostería,0.550335,1.119867,141.598,487.7156,0.4914289,Intermedio,"Grietas pequeñas en muros, trabes o columnas",Grietas en castillos,Irregularidad en planta,4920,"POLYGON((-99.1238575562805 19.306335145384, -99.1238578867633 19.3063315305855, -99.1238783370685 19.3061054611272, -99.1242321002905 19.3061329151599, -99.1242112162445 19.3063637291984))"
17M,17M|COY_53,Edificio,Comercio,Rancho Vista Hermosa 254,Esq. Rancho Guadalupe,Campestre Coyoacán,Coyoacán,1983,4,Marcos de concreto,0.5257325,1.515904,101.5111,236.2352,0.3468113,Menores,Grietas en acabados y elementos no estructurales,Grietas pequeñas en elementos estructurales,"Efecto de esquina
Irregularidad en planta",4938,"POLYGON((-99.1157655543297 19.3067047604124, -99.1157668735988 19.3066988138949, -99.1158056163284 19.3065240965158, -99.1159995994541 19.3065478970749, -99.1159553490893 19.3067431384424))"
17M,17M|COY_119,Edificio,Edificio de departamentos,Rancho San Lorenzo 111,Cerro San Juan y Cerro de las Campanas,Campestre Churubusco,Coyoacán,1994,6,Muros de mampostería confinada,0.474,1.059724,141.598,439.7069,0.4472862,Intermedio,"Grietas pequeñas en muros, trabes o columnas",Agrietamiento por cortante en muros de mampostería,Edificio alargado,4920,"POLYGON((-99.1262661093282 19.3070196525912, -99.1263302537403 19.3067978332897, -99.1266524564064 19.3068823940165, -99.1265864570402 19.3071059038987))"
17M,17M|COY_118,Edificio,Edificio de departamentos,Rancho San Lorenzo 98,Cerro San Juan y Cerro de Loreto,Campestre Churubusco,Coyoacán,1975,6,Muros de mampostería confinada,0.474,1.056797,141.598,439.7069,0.4485251,Intermedio,"Grietas pequeñas en muros, trabes o columnas","Agrietamiento por cortante en muros de mampostería, desprendimiento de acabados de recubrimiento, en una sección se puede ver del otro lado del muro",Irregularidad en planta,4920,"POLYGON((-99.1260618071227 19.3077048951874, -99.126130763105 19.3074739836638, -99.126452653189 19.3075589333813, -99.1263862309001 19.3077904406162))"
17M,17M|COY_77,UH,Edificio de departamentos,"Calz. Del Hueso 151
Int 10",Santa Rosa y el Carrizal,Viejo Ejido de Santa Úrsula Coapa,Coyoacán,1979,4,Muros de mampostería confinada,0.316,0.8500848,154.5396,329.8623,0.3717276,Menores,Grietas en acabados y elementos no estructurales,"Se muestra una grieta de tamaño considerable en muro, es el único daño que se encontró",Edificio alargado,4980,"POLYGON((-99.1351626592051 19.3078728633118, -99.1354325407424 19.3075014502442, -99.1355075960523 19.3074954355977, -99.1355601525777 19.307976775181, -99.135495018471 19.3079824884347, -99.1354492456354 19.3079257410936, -99.1353235585043 19.3079383230003, -99.1353234434646 19.3079374193365, -99.1353136916668 19.3078582763626))"
17M,17M|COY_44,Edificio,Edificio de departamentos,Rancho San Lorenzo 68,Calz. De las Bombas y Rancho Mante,Girasoles III,Coyoacán,1980,5,Muros de mampostería confinada,0.395,1.075483,141.598,390.0221,0.3672769,Graves,"Grietas grandes en muros, trabes o columnas",Grandes grietas por cortante en muros y grietas trabes del primer nivel,"Planta baja débil
Irregularidad en planta",4920,"POLYGON((-99.1251950726138 19.3085567172328, -99.1252633411051 19.3083331082859, -99.1256901659419 19.3084488483188, -99.1256222022091 19.3086718066492))"
17M,17M|COY_35,Hospital General Zona 32,Hospital,Calz del Hueso S/N,Calz de las Bombas,Ex Hacienda Coapa,Coyoacán,1985,6,Marcos de concreto,0.7572634,0.9536147,154.5396,574.6834,0.7940979,Menores,Grietas en acabados y elementos no estructurales,Pequeñas grietas y daños en elementos no estructurales,Ninguno apreciable,4980,"POLYGON((-99.127938880075 19.3100399480989, -99.1291425471708 19.3060694945526, -99.1320525382235 19.3073463753984, -99.1315868187335 19.3083214584655, -99.1312082568505 19.3091140299221, -99.1310953822315 19.309146001525, -99.1311228725606 19.309123689937, -99.130611318399 19.3092506643932, -99.1306287469723 19.3092781580744))"
17M,17M|COY_67,Esc. Sec. Tec.,Escuela,Calz. De la Bombas S/N,Hacienda Sta. Cecilia y Av. Cafetales,Culhuacán  CTM Secc. 10,Coyoacán,1988,2,Marcos de concreto con muros de mampostería,0.2414272,1.928217,78.59975,98.7095,0.1252075,Menores,Grietas en acabados y elementos no estructurales,"La mampostería sufrió un daño, la estructura se encuentra intacta","Efecto de columna corta
Edificio alargado",4939,"POLYGON((-99.1090132977834 19.3102808203447, -99.1090136015879 19.3102794738108, -99.1092107106241 19.3094032864307, -99.1093730404378 19.3094361528097, -99.1093065360431 19.3097588222871, -99.1098451208237 19.3098683386952, -99.1097238774448 19.3104205346333, -99.1097201766024 19.3104250269788, -99.1097147519827 19.3104288783012, -99.1097038055681 19.3104335899043, -99.109689323964 19.3104340555259))"
17M,17M|COY_29,UVM Coyoacán,Escuela,Calzada de Tlalpan 3058,Benito Juárez t Calzada del Hueso,Ex Hacienda Coapa,Coyoacán,2003,3,Marcos de concreto,0.4058074,0.6932518,120.4159,237.5791,0.585368,Menores,Grietas en acabados y elementos no estructurales,"Desprendimiento y agrietamiento de acabados en muros, agrietamiento menor en muros de mampostería",Ninguno apreciable,4980,"POLYGON((-99.1372416333256 19.311160796622, -99.1372524132454 19.3111292992374, -99.1375099423193 19.3103769399334, -99.1375576497002 19.3103902818621, -99.1376459778907 19.3100791627222, -99.1380263624397 19.3102210064453, -99.1383372357899 19.3103721796694, -99.1405932141011 19.3110437082804, -99.1402498848532 19.3120599574188))"
17M,17M|COY_54,Edificio,Casa habitación,Central 53,Calz. De la Bombas,Alianza Popular Revolucionaria,Coyoacán,1976,3,Muros de mampostería confinada,0.237,1.22377,93.94791,146.9791,0.1936638,Menores,Grietas en acabados y elementos no estructurales,"Asentamiento del terreno, y grietas en el cubo de escaleras","Irregularidad en planta
Hundimientos",4800,"POLYGON((-99.1202964213906 19.3120532608763, -99.1202981805552 19.3120370847842, -99.1203132925176 19.3120382998378, -99.1203151836229 19.3120202711982, -99.120327324736 19.3120214149199, -99.1203293947466 19.3120006571663, -99.1203173774319 19.3119995314784, -99.1203188147054 19.3119858767018, -99.1203043026473 19.3119846976018, -99.1203075383327 19.3119564481245, -99.1204219026528 19.311966983954, -99.1204078624084 19.3120764760288, -99.120302896821 19.3120670576777, -99.1203041061325 19.3120541620513))"
17M,17M|COY_18,Edificio,Comercio,Calle R 42,Calle Q y Calle U,Alianza Popular Revolucionaria,Coyoacán,1976,7,Muros de mampostería confinada,0.553,1.362344,93.94791,217.6873,0.405918,Graves,"Grietas grandes en muros, trabes o columnas",Grietas importantes en muros,"Golpeteo
Autoconstrucción / Ampliaciones",4800,"POLYGON((-99.1175282766764 19.3130061429965, -99.117534250475 19.3129578407017, -99.1175429722956 19.3129577023235, -99.1175449707761 19.3129294624562, -99.1175636153074 19.3129308028521, -99.1175664985044 19.312888086141, -99.1175505294458 19.3128865460738, -99.1175529869241 19.3128610531659, -99.1175459594957 19.3128605132541, -99.1175499677278 19.3128065004856, -99.1175869809948 19.3128096964435, -99.1175897989726 19.3127957069457, -99.1176172711422 19.3127984541743, -99.1176149729754 19.3128203414509, -99.1176563577154 19.312824909549, -99.1176583031328 19.3128024078999, -99.117687832079 19.3128052538651, -99.1176857382594 19.3128199389446, -99.1177213051908 19.3128244547142, -99.1177161703046 19.3128740489879, -99.1177074481548 19.312873726502, -99.1177049728037 19.3129008188917, -99.1176911660018 19.3129004438358, -99.117687823826 19.3129403955191, -99.1177030695774 19.3129423966886, -99.1177001537576 19.3129660372554, -99.1177059625609 19.3129667854054, -99.1176993167966 19.3130207177027, -99.1176680748648 19.3130192458381, -99.1176664659956 19.3130330180636, -99.1176391175016 19.3130301984907, -99.117639844131 19.3130076791706, -99.1175943184904 19.3130046757273, -99.1175918980448 19.3130286866258, -99.1175635414603 19.3130275572167, -99.1175641965221 19.3130114809827))"
17M,17M|COY_37,UH,Edificio de departamentos,Textitlán 40,Tlapacoya y Calza. de Tlalpan,Pueblo Santa Úrsula,Coyoacán,1981,6,Muros de mampostería confinada,0.474,0.6014025,120.4159,257.2674,0.7881576,Intermedio,"Grietas pequeñas en muros, trabes o columnas",Grietas por cortante en muros de la planta baja,"Irregularidad en planta
Cambios de rigidez en elevación",4650,"POLYGON((-99.1419663734985 19.3125039290207, -99.1420151705865 19.3123759640117, -99.1420175496716 19.3123744268832, -99.1424366531427 19.3125538803644, -99.1421919430207 19.3130876822462, -99.142192145076 19.3130899595502, -99.1421152252345 19.3130890185452, -99.1421152898142 19.3130867592261, -99.1421040043822 19.3129292086796, -99.1420773134142 19.3127831676922, -99.1419871817389 19.3125172427933))"
17M,17M|COY_43,UH Benito Juárez Los Olivos,Edificio de departamentos,Benito Juárez 153,Av. División del Norte y Av. Mar de la tranquilidad,Espartaco,Coyoacán,1982,5,Muros de mampostería confinada,0.395,0.8587251,134.8351,383.3945,0.4599842,Intermedio,"Grietas pequeñas en muros, trabes o columnas",Los castillos exteriores presentan daño,Irregularidad en planta,4890,"POLYGON((-99.1334000983118 19.3129363335693, -99.1336389771828 19.3122320611801, -99.1337403608649 19.3119297188299, -99.1337934080389 19.3117715116171, -99.1350685395851 19.3121509482211, -99.1350984956624 19.3122166562596, -99.1346954244308 19.3133232767859))"
17M,17M|COY_68,Casa,Casa habitación,Nardos 12,Av. Canal de Miramontes y Av. De las Dalias,Jardines de Coyoacán,Coyoacán,1980,2,Muros de mampostería confinada,0.158,1.090654,120.2601,208.9186,0.1448672,Menores,Grietas en acabados y elementos no estructurales,Grietas en suelo y en muros,Autoconstrucción / Ampliaciones,4890,"POLYGON((-99.1245728072414 19.3134264516574, -99.1246149237442 19.3133650432804, -99.1248132652086 19.3134844099266, -99.1247720819687 19.3135459264432))"
17M,17M|COY_123,Escuela Primaria Coyolxauhqui,Escuela,Calle P S/N,Esq. Amacuzan,Avante,Coyoacán,1999,3,Marcos de acero,0.4421149,1.316363,93.94791,192.8757,0.3358608,Menores,Grietas en acabados y elementos no estructurales,"Agrietamiento en muros divisorios de mampostería, agrietamiento en loseta de piso, agrietamiento en castillo en muro perimetral",Edificio alargado,4800,"POLYGON((-99.1184042682304 19.3143286121475, -99.1184545103642 19.3139113964799, -99.1189841047571 19.3139612886774, -99.1189837931498 19.3139649034025, -99.1189272458503 19.3146280241901, -99.1186603455243 19.3146002228779, -99.1184413295639 19.3143316365231))"
17M,17M|COY_65,Edificio,Edificio de departamentos,Calle 11 176,Calle 12 y Benito Juárez,Espartaco,Coyoacán,1977,5,Marcos de concreto con muros de mampostería,0.48,0.84882,134.8351,436.882,0.5654909,Menores,Grietas en acabados y elementos no estructurales,Las escaleras presentan algunas grietas,"Planta baja débil
Irregularidad en planta",4870,"POLYGON((-99.1342973370429 19.3147759245633, -99.1342989926064 19.3146960105518, -99.134492597779 19.3147025159081, -99.1344916063443 19.3147794114487, -99.1343928766583 19.3147776413344))"
17M,17M|COY_66,Edificio,Edificio de departamentos,Calle 12 86,Esq. Calle 5,Espartaco,Coyoacán,1997,5,Marcos de concreto con muros de mampostería,0.48,0.7823578,134.8351,436.882,0.61353,Menores,Grietas en acabados y elementos no estructurales,"La edificación presenta daños en elementos no estructurales, en una esquina del edificio presenta grietas en la losa.","Efecto de esquina
Irregularidad en planta",4870,"POLYGON((-99.1363066685432 19.31526769926, -99.1363095059284 19.3151138346326, -99.1364080929418 19.3151153402031, -99.1364063218221 19.3152687644863))"
17M,17M|COY_42,Casa,Casa habitación,Calle 12 84,Av. División del Norte y Calle 5,Espartaco,Coyoacán,1989,2,Muros de mampostería confinada,0.158,0.7823578,134.8351,234.2589,0.2019536,Menores,Grietas en acabados y elementos no estructurales,Grietas pequeñas por cortante en muros,"Conexiones excéntricas
Autoconstrucción / Ampliaciones",4870,"POLYGON((-99.1364063218221 19.3152687644863, -99.1364067730043 19.3152291190611, -99.1364080929418 19.3151153402031, -99.1365032517928 19.3151167888372, -99.1364987760278 19.3152697503494))"
17M,17M|COY_50,Edificio,Edificio de departamentos,Av. Canal de Miramontes 2781,Esq. Iris,Jardines de Coyoacán,Coyoacán,1984,7,Marcos de concreto,0.8699596,1.089974,120.2601,608.4202,0.7981471,Intermedio,"Grietas pequeñas en muros, trabes o columnas",Daños en elementos estructurales (columnas y trabes en distintos niveles). Daños en acabados,"Efecto de esquina
Irregularidad en planta",4890,"POLYGON((-99.124733416791 19.3152605348428, -99.1247340255181 19.3152596309888, -99.1249078074522 19.3150018697509, -99.1250684661418 19.3151004102823, -99.1248458456708 19.3154336155483))"
17M,17M|COY_131,Casa,Casa habitación,Manuela Medina 294 A,Cerro de Libertad y Cerro de Jesús,Campestre Churubusco,Coyoacán,1968,2,Muros de mampostería confinada,0.158,1.833589,78.59975,91.7604,0.08616979,Menores,Grietas en acabados y elementos no estructurales,Agrietamiento de muro en confinamiento de liga entre puerta y ventana,Autoconstrucción / Ampliaciones,4909,"POLYGON((-99.1066373670124 19.3155149141374, -99.1066379651939 19.3155122482117, -99.1066459690622 19.3154759916635, -99.1067865250398 19.3155039050674, -99.1067779989112 19.3155423757023))"
17M,17M|COY_133,Vivienda,Casa habitación,Manuel Medina 297B,Esq. Paseo de los Nogales,Paseos de Taxqueña,Coyoacán,1992,2,Muros de mampostería confinada,0.158,1.810845,78.59975,91.7604,0.08725207,Menores,Grietas en acabados y elementos no estructurales,Agrietamiento menor en acabados de recubrimiento de mortero en muro de mampostería en fachada principal,Autoconstrucción / Ampliaciones,4909,"POLYGON((-99.1064684036519 19.3162684306772, -99.1064768718461 19.3162284420094, -99.1066170666942 19.3162564369487, -99.1066084171067 19.3162956033695))"
17M,17M|COY_10,Edificio,Casa habitación,Av. Canal de Miramontes 5,Campanilla y Cidonia,Jardines Coyoacán,Coyoacán,1985,3,Muros de mampostería confinada,0.237,1.059785,120.2601,253.2479,0.2236302,Colapso parcial,Colapso de pisos superiores,Colapso de los niveles superiores,"Efecto de esquina
Irregularidad vertical
Efecto de columna corta",4890,"POLYGON((-99.126310090481 19.316308886291, -99.1264562336297 19.3160939316195, -99.1264571863121 19.3160945006437, -99.1265376213749 19.316142596782, -99.1263975213348 19.3163529137935))"
17M,17M|COY_55,Edificio,Edificio de departamentos,"Andador 10
Entrada B 0",Virgilio Uribe y Tepetlapa,Alianza Popular Revolucionaria,Coyoacán,1977,6,Muros de mampostería confinada,0.474,1.27631,93.94791,200.0103,0.3713832,Menores,Grietas en acabados y elementos no estructurales,Grietas menores por cortante en muros,Irregularidad en planta,4800,"POLYGON((-99.1200603646884 19.3169058968926, -99.1200659438813 19.3168526427542, -99.1200987302207 19.3168548644802, -99.1200997035446 19.3168446528725, -99.1201315087906 19.3168464411537, -99.1201290599889 19.3168703074537, -99.1201671037593 19.3168741631491, -99.1201700938437 19.3168482815266, -99.1201715222832 19.3168484437359, -99.1202003196021 19.3168516788141, -99.1201987484915 19.3168647642349, -99.1202366681295 19.3168681319998, -99.120230975425 19.316922325991, -99.120212178207 19.3169216451125, -99.1202084460476 19.3169484125493, -99.1201809169537 19.3169476440456, -99.1201792710421 19.3169626181266, -99.120156740587 19.3169611793498, -99.1201557282833 19.31698320174, -99.1201295605518 19.3169820171283, -99.12013079988 19.3169579252981, -99.1201002698608 19.3169551606623, -99.1201015716776 19.3169383974546, -99.1200744116544 19.3169344660483, -99.1200761152283 19.3169071570618))"
17M,17M|COY_52,Edificio,Edificio de departamentos,Miguel Ángel Preciat 69,Esq. Pedro Sainz de Baranda,Cipreses,Coyoacán,1979,5,Marcos de concreto con muros de mampostería,0.48,1.146018,96.41911,216.8832,0.4188417,Menores,Grietas en acabados y elementos no estructurales,Grietas pequeñas en algunos muros y grietas importantes en acabados,Irregularidad en planta,4830,"POLYGON((-99.1255818574022 19.3194365398873, -99.1256003042192 19.3194016349349, -99.1256982624594 19.3192164090358, -99.1258035648218 19.3192675434408, -99.1256881661043 19.3194836346122))"
17M,17M|COY_36,Edificio,Edificio de departamentos,Estrella Binaria 8,Av. Estrella Cafeida y Lira,Prado Coyoacán,Coyoacán,1987,6,Marcos de concreto con muros de mampostería,0.550335,0.9782702,106.6419,387.081,0.5625594,Intermedio,"Grietas pequeñas en muros, trabes o columnas",Grietas por cortante en muros de mampostería,"Planta baja débil
Irregularidad en planta",4810,"POLYGON((-99.1316569746909 19.3188898038006, -99.1316570788652 19.3188891079366, -99.131679263134 19.3187350601462, -99.1318687668408 19.3187495110298, -99.1317720582928 19.3187425617441, -99.131747043851 19.3189171420186))"
17M,17M|COY_51,Casa,Edificio de departamentos,Calle 5 34,Calle 2 y Calle 4,Espartaco,Coyoacán,1980,5,Muros de mampostería confinada,0.395,0.8559722,106.6419,307.9256,0.4614636,Intermedio,"Grietas pequeñas en muros, trabes o columnas","Grietas en muros, caída de acabados, y separación en de algunos muros de los castillos","Planta baja débil
Irregularidad en planta",4870,"POLYGON((-99.1358447031489 19.3199704754548, -99.135845471671 19.3199341286321, -99.1358462953231 19.3198954592974, -99.1360360604413 19.3198991690251, -99.1360342868688 19.3199734984824))"
17M,17M|COY_20,Hotel Real del Sur,Hotel,División del norte 3640,Esq. Calzada de Tlalpan,San Pablo Tepetlalpa,Coyoacán,1996,7,Columnas y losa plana de concreto,0.8699596,0.7728136,116.6298,671.5709,1.125704,Intermedio,"Grietas pequeñas en muros, trabes o columnas",Agrietamiento en muros de mampostería y grietas en columnas por cortante,"Irregularidad vertical
Irregularidad en planta
Cambios de rigidez en elevación
Presencia de apéndices",4620,"POLYGON((-99.138100265094 19.320842426201, -99.1381655547285 19.3205531055219, -99.1382465487811 19.3203087214355, -99.1382546483196 19.3202930579807, -99.138266518932 19.3202774567293, -99.1382809437266 19.3202642043916, -99.1382958477866 19.3202544854002, -99.1383108876688 19.3202475949623, -99.1383264532792 19.3202429365243, -99.1383423445761 19.320240437846, -99.1383538381536 19.3202399737339, -99.1383725232339 19.3202415499752, -99.1383917158815 19.320246352297, -99.138408529985 19.3202535772132, -99.1384259285305 19.3202648053759, -99.1384350674754 19.3202722493355, -99.1384476604895 19.3202873828523, -99.138455709283 19.3203004210512, -99.138460241335 19.3203102611235, -99.1386076631442 19.3209741989922, -99.1384308405909 19.3209282768469, -99.1383415530175 19.3209050945372))"
17M,17M|COY_117,"Escuela Primaria ""Pablo Martínez del Río""",Escuela,Manuel Cañizares 84,Cerro de Loreto y Cerro de las Campanas,Campestre Churubusco,Coyoacán,1968,2,Muros de mampostería confinada,0.158,1.337724,88.98373,113.4339,0.118111,Menores,Grietas en acabados y elementos no estructurales,"Agrietamiento en muros de mampostería perimetral, derrumbe parcial del muro perimetral, daños en castillos confinantes en muro perimetral",Ninguno apreciable,4480,"POLYGON((-99.1206881015686 19.3215934736164, -99.1207265872173 19.321145232998, -99.1210253630955 19.3211681763954, -99.1215404561343 19.3212077451241, -99.1215373597237 19.3212442626688, -99.1216666356094 19.3212541819286, -99.1216304327319 19.3216687616007))"
17M,17M|COY_90,UH Culhuacanes,Edificio de departamentos,Calz. De la Virgen 3000,Ermita Iztapalapa y Osa Menor,Prado Churrubusco,Coyoacán,1966,5,Marcos de concreto con muros de mampostería,0.48,1.105086,90.49751,294.3538,0.4343554,Menores,Grietas en acabados y elementos no estructurales,"El edificio se asentó y presenta algunas grietas, se encuentra inclinado","Irregularidad en planta
Hundimientos",4909,"POLYGON((-99.1038208214639 19.3218303231428, -99.1038302563264 19.3217806929603, -99.1038681949747 19.3217861932038, -99.1038752079657 19.3217469012749, -99.1038375055706 19.321738409951, -99.1038508025677 19.3216825706267, -99.1039054171184 19.3216931259567, -99.1039027579156 19.3217046118995, -99.1039542303965 19.321715403157, -99.1039580997088 19.3217052903488, -99.1040122375047 19.321714698219, -99.1040006263561 19.3217712237789, -99.1039566403 19.3217641169759, -99.1039477030654 19.3218020269595, -99.1039928894508 19.3218100550879, -99.1039798367259 19.3218603822031, -99.1039206238326 19.3218512018235, -99.1039218375061 19.3218426983075, -99.1038780962376 19.3218309919596, -99.1038739892819 19.3218417915957))"
17M,17M|COY_114,Edificio,Oficina privada,Calz. De Tlalpan 2738,Ermita Iztapalapa y Osa Menor,Prado Churubusco,Coyoacán,1967,3,Marcos de concreto,0.4058074,0.8490117,106.6419,313.4328,0.4779763,Intermedio,"Grietas pequeñas en muros, trabes o columnas",Severo agrietamiento por cortante de muros,Ninguno apreciable,4810,"POLYGON((-99.1365092588725 19.3215622175524, -99.1374643029746 19.321591363366, -99.1374528153424 19.3217180833181, -99.1374654912022 19.3220442615727, -99.1373787341287 19.3220519117943, -99.1373791809982 19.3220294005081, -99.137218905645 19.3220469384513, -99.1371283387543 19.3221845685181, -99.1366393594647 19.3224782073779, -99.1365640698518 19.3220181094405))"
17M,17M|COY_75,"Centro de Desarrollo Comunitario ""San Pablo Tepatlapa""",Escuela,Emiliano Zapata 50,Hidalgo y Ilhuicamina,San Pablo Tepetlalpa,Coyoacán,1980,2,Marcos de concreto con muros de mampostería,0.2414272,0.7250804,116.6298,270.6345,0.3329661,Menores,Grietas en acabados y elementos no estructurales,El comedor esta dañado presenta grieta horizontal en una trabe y algunos elementos de la losa se han movido de su lugar o presentan grietas,Irregularidad en planta,4620,"POLYGON((-99.1413722961004 19.3232246845237, -99.1414018559612 19.3232151326243, -99.1414524199808 19.3231915217745, -99.1418909044478 19.3232782663262, -99.1420955894062 19.3234856445699, -99.142139689835 19.3234235008357, -99.1421476835785 19.3234175519857, -99.1421532360722 19.3234182642629, -99.1421912062349 19.3234312664409, -99.142114361937 19.3235302193488, -99.1421189771366 19.3236403630467, -99.1418780924333 19.3235957638205, -99.141876939963 19.3235955472696, -99.141515590063 19.3235402559128, -99.1414320114505 19.3235967625597, -99.1415372040588 19.3233704324425, -99.1413758411189 19.3232691191358))"
